x,y
-121.0068,35.59725
-121.7922,34.6963
-122.3799,34.02243
-122.9646,33.34847
-123.7375,32.44807
-124.3119,31.77102
-124.8815,31.09234
-125.4453,30.41103
-126.188,29.49883
-126.7406,28.8135
-127.2899,28.12771
-127.8373,27.44238
-128.5644,26.52955
-129.1085,25.84625
-129.6511,25.16373
-130.3725,24.2549
-130.9116,23.57392
-131.6282,22.66693
-132.1624,21.9862
-132.6923,21.30379
-133.3909,20.39053
-133.9089,19.70289
-134.4225,19.01353
-134.932,18.32254
-135.6057,17.39935
-136.1077,16.7063
-136.7742,15.78229
-137.2743,15.09106
-137.7752,14.40176
-138.2769,13.71438
-138.9486,12.8018
-139.4544,12.12035
-139.9599,11.43987
-140.6312,10.53251
-141.1314,9.850953
-141.7921,8.939545
-142.2829,8.253818
-142.7694,7.566135
-143.4108,6.645595
-143.8864,5.952586
-144.3571,5.257171
-144.9783,4.327095
-145.4398,3.627624
-145.8988,2.927393
-146.3556,2.226535
-146.9613,1.291165
-147.4125,0.5886567
-148.01,-0.3494616
-148.4544,-1.054483
-148.8967,-1.760158
-149.485,-2.700713
-149.9258,-3.405587
-150.3653,-4.11059
-150.9488,-5.051069
-151.3829,-5.757834
-151.8133,-6.466154
-152.241,-7.1755
-152.8074,-8.122708
-153.228,-8.83486
-153.7834,-9.786645
-154.1949,-10.50279
-154.6012,-11.22131
-155.0024,-11.94214
-155.5305,-12.90624
-155.9231,-13.63064
-156.4432,-14.59756
-156.832,-15.32292
-157.2205,-16.04797
-157.7401,-17.0131
-158.1299,-17.73639
-158.5197,-18.45926
-158.9091,-19.18194
-159.2968,-19.90508
-159.6815,-20.62939
-160.1878,-21.59797
-160.5605,-22.32746
-161.0473,-23.30454
-161.4046,-24.04078
-161.7554,-24.77981
-162.1006,-25.52116
-162.5537,-26.51249
-162.8878,-27.25825
-163.2186,-28.00518
-163.6554,-29.00254
-163.9809,-29.75115
-164.3043,-30.50043
-164.7329,-31.50014
-165.0522,-32.25056
-165.3689,-33.0018
-165.7859,-34.00522
-166.0954,-34.75886
-166.4017,-35.51353
-166.8064,-36.52095
-167.1064,-37.27766
-167.403,-38.03548
-167.7933,-39.04755
-168.0819,-39.80794
-168.4611,-40.82363
-168.7417,-41.58653
-169.113,-42.60455
-169.3878,-43.36913
-169.7461,-44.39109
-170.0078,-45.15971
-170.346,-46.18781
-170.5929,-46.96088
-170.8339,-47.73566
-171.1457,-48.7714
-171.3721,-49.55024
-171.6659,-50.59081
-171.8799,-51.37285
-172.0895,-52.15598
-172.2953,-52.94
-172.5619,-53.98714
-172.7558,-54.77386
-172.9458,-55.56141
-173.1918,-56.61304
-173.3714,-57.40274
-173.545,-58.19366
-173.7127,-58.98569
-173.9301,-60.0429
-174.0896,-60.83643
-174.2447,-61.6307
-174.4439,-62.69102
-174.5882,-63.48711
-174.7279,-64.28391
-174.9071,-65.34739
-175.0376,-66.14555
-175.1649,-66.94414
-175.2888,-67.74319
-175.4465,-68.80956
-175.5606,-69.60983
-175.6715,-70.41048
-175.8123,-71.47883
-175.9131,-72.28062
-176.0395,-73.35049
-176.127,-74.1536
-176.2074,-74.95734
-176.2782,-75.76179
-176.3579,-76.83537
-176.4084,-77.64114
-176.4652,-78.71609
-176.4991,-79.52267
-176.5255,-80.32948
-176.544,-81.13645
-176.5556,-81.94353
-176.5581,-83.01962
-176.5488,-83.8265
-176.5296,-84.63313
-176.4884,-85.70803
-176.4464,-86.51367
-176.3772,-87.58707
-176.3169,-88.39153
-176.2262,-89.46332
-176.1505,-90.26646
-176.0412,-91.33645
-175.9554,-92.13852
-175.866,-92.94015
-175.7719,-93.74121
-175.6361,-94.80785
-175.5246,-95.6064
-175.3617,-96.66886
-175.226,-97.46327
-175.0779,-98.25537
-174.8637,-99.30817
-174.692,-100.0955
-174.5107,-100.8807
-174.2553,-101.9244
-174.0537,-102.7047
-173.8452,-103.4832
-173.5561,-104.5181
-173.33,-105.2917
-173.0146,-106.3188
-172.7684,-107.0861
-172.4298,-108.1058
-172.1679,-108.8679
-171.8989,-109.6274
-171.6232,-110.3846
-171.2438,-111.3898
-170.9495,-112.1398
-170.6473,-112.8867
-170.2313,-113.877
-169.9082,-114.615
-169.5752,-115.3484
-169.116,-116.3192
-168.7601,-117.0418
-168.3961,-117.7603
-167.8993,-118.7125
-167.517,-119.4214
-167.1268,-120.1261
-166.5923,-121.0575
-166.1806,-121.7497
-165.7599,-122.4364
-165.3306,-123.1178
-164.7465,-124.0188
-164.301,-124.6898
-163.8489,-125.3564
-163.2363,-126.2384
-162.7699,-126.895
-162.1351,-127.761
-161.6484,-128.4023
-160.9836,-129.245
-160.4715,-129.8658
-159.9477,-130.4765
-159.4111,-131.076
-158.6749,-131.8557
-158.1068,-132.425
-157.3275,-133.1613
-156.7266,-133.6955
-156.1126,-134.2145
-155.4852,-134.7173
-154.6299,-135.3639
-153.9758,-135.832
-153.3127,-136.2874
-152.4178,-136.8792
-151.7403,-137.3138
-151.0593,-137.7429
-150.1482,-138.3102
-149.4644,-138.7349
-148.5555,-139.3053
-147.8771,-139.738
-147.2012,-140.1748
-146.5272,-140.6145
-145.6315,-141.2055
-144.7357,-141.7963
-144.0606,-142.2341
-143.3814,-142.6651
-142.6976,-143.0884
-141.7764,-143.6368
-141.0778,-144.0347
-140.373,-144.4217
-139.4235,-144.9192
-138.7051,-145.2807
-137.9822,-145.6335
-137.255,-145.9774
-136.2794,-146.4234
-135.5442,-146.7508
-134.5608,-147.1803
-133.8216,-147.4987
-133.081,-147.8142
-132.0946,-148.237
-131.3558,-148.5563
-130.6166,-148.8749
-129.8771,-149.1928
-128.8895,-149.6129
-128.1467,-149.9229
-127.402,-150.2284
-126.405,-150.6252
-125.6531,-150.912
-124.8981,-151.1903
-123.8869,-151.5491
-123.1254,-151.8095
-122.1065,-152.1467
-121.3401,-152.3928
-120.5717,-152.633
-119.8013,-152.8666
-118.7701,-153.1644
-117.994,-153.3778
-117.2155,-153.5825
-116.174,-153.8419
-115.3902,-154.0257
-114.3423,-154.258
-113.5549,-154.4257
-112.7665,-154.5892
-111.7143,-154.8022
-110.9243,-154.9579
-110.1333,-155.1084
-109.0772,-155.3017
-108.2844,-155.4424
-107.4911,-155.5802
-106.6972,-155.715
-105.6384,-155.893
-104.8444,-156.0271
-104.0505,-156.1617
-102.9924,-156.3434
-102.199,-156.4812
-101.4056,-156.619
-100.3477,-156.8021
-99.55399,-156.9375
-98.76006,-157.0719
-97.70064,-157.2455
-96.90516,-157.3694
-96.10855,-157.4845
-95.04459,-157.6234
-94.24518,-157.7145
-93.44463,-157.795
-92.64321,-157.8669
-91.57347,-157.9498
-90.77042,-158.0024
-89.69917,-158.0652
-88.89552,-158.1093
-88.09182,-158.1523
-87.0203,-158.2109
-86.2168,-158.2571
-85.14561,-158.3217
-84.34224,-158.371
-83.27125,-158.4398
-82.46817,-158.4943
-81.66541,-158.553
-80.59549,-158.637
-79.79335,-158.7041
-78.99162,-158.7759
-77.9229,-158.8745
-77.12138,-158.9485
-76.31979,-159.0219
-75.25074,-159.1164
-74.44862,-159.1828
-73.64607,-159.2415
-72.84308,-159.2926
-71.77174,-159.348
-70.9678,-159.3769
-69.89544,-159.3999
-69.09093,-159.4071
-68.0181,-159.4062
-67.21345,-159.398
-66.4088,-159.3847
-65.33598,-159.3642
-64.53137,-159.3474
-63.72681,-159.3279
-62.65415,-159.2969
-61.8498,-159.269
-61.04558,-159.2373
-59.97334,-159.1929
-59.16915,-159.1596
-58.36491,-159.1278
-57.29252,-159.0866
-56.48814,-159.0595
-55.4155,-159.0267
-54.61092,-159.0046
-53.80635,-158.9823
-53.00175,-158.9604
-52.1971,-158.9396
-51.12413,-158.9163
-50.31936,-158.9042
-49.24628,-158.8959
-48.44143,-158.8949
-47.63664,-158.9003
-46.83209,-158.9149
-45.75966,-158.9459
-44.95546,-158.9746
-44.15133,-159.0043
-43.07928,-159.0368
-42.27563,-159.0531
-41.20396,-159.0576
-40.40052,-159.0461
-39.5979,-159.0191
-38.79586,-158.9787
-37.72705,-158.9058
-36.92633,-158.8381
-36.12674,-158.7578
-35.06247,-158.6325
-34.26543,-158.5276
